,2B,3B,HR,H,PA,BB,HBP,SF,G,AB,R,TB,RBI,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,SAC,XBH,GDP,GO,AO,GOAO,NP,score,result
5995,11,5,36,144,519,88,11,2,55,519,104,273,66,44,41,1,0.277,0.381,0.526,0.907,5,15,52,7,51,147,0.347,1425,3.3482841911846504,2
5994,11,7,57,99,641,30,39,10,143,641,98,295,42,59,46,8,0.154,0.189,0.46,0.649,24,10,75,11,114,43,2.651,893,3.348471255697323,2
5515,59,11,7,142,166,92,8,3,38,166,14,244,112,5,1,3,0.855,0.897,1.47,2.367,28,2,77,2,153,57,2.684,905,3.429490969563772,2
5992,13,6,52,148,490,57,40,10,63,490,142,329,16,68,34,5,0.302,0.368,0.671,1.039,29,5,71,0,23,136,0.169,1553,3.3485894085926233,2
5516,43,3,54,255,650,2,2,11,8,650,6,466,76,77,13,10,0.392,0.388,0.717,1.105,30,9,100,21,7,75,0.093,226,3.429467374450152,2
5517,32,2,18,175,211,28,11,4,116,211,141,265,127,42,13,0,0.829,0.835,1.256,2.091,21,14,52,29,127,67,1.896,1901,3.4291041919008043,2
5990,49,3,31,121,529,10,14,0,47,529,128,269,126,115,26,3,0.229,0.243,0.509,0.752,15,7,83,8,118,51,2.314,3270,3.3492186937141453,2
5989,17,17,14,108,681,80,20,1,139,681,124,201,12,177,39,0,0.159,0.247,0.295,0.542,14,9,48,9,0,69,0.0,3219,3.3494905575681364,2
5988,43,11,26,107,376,13,23,4,89,376,140,250,87,57,36,3,0.285,0.305,0.665,0.97,10,5,80,14,48,194,0.247,1375,3.3496454029699456,2
5987,5,19,18,99,219,106,35,15,8,219,141,196,63,121,0,9,0.452,0.603,0.895,1.498,16,8,42,2,23,36,0.639,2484,3.3497638122965583,2
5986,31,2,33,199,578,22,32,8,51,578,52,333,116,17,27,4,0.344,0.363,0.576,0.939,24,6,66,18,45,193,0.233,2091,3.3498246852338687,2
5985,29,4,53,217,554,11,23,11,116,554,2,413,51,53,15,9,0.392,0.396,0.745,1.141,18,12,86,23,21,117,0.179,2392,3.3498354906196615,2
5984,52,3,43,179,488,72,4,0,45,488,5,366,44,16,15,4,0.367,0.448,0.75,1.198,7,15,98,3,114,20,5.7,941,3.350157145257276,2
5983,41,4,13,153,665,107,23,7,56,665,131,241,20,130,15,5,0.23,0.334,0.362,0.696,19,7,58,23,34,123,0.276,2375,3.3501644311685985,2
5518,11,7,38,240,555,85,25,10,17,555,4,379,60,132,10,2,0.432,0.5,0.683,1.183,24,11,56,2,2,7,0.286,264,3.4290215988480015,2
5982,50,4,44,160,166,62,3,5,71,166,62,350,40,109,41,4,0.964,0.953,2.108,3.061,14,2,98,20,82,93,0.882,1530,3.3504805796052413,2
5981,24,14,56,209,473,4,29,14,34,473,80,429,8,78,18,6,0.442,0.434,0.907,1.341,25,5,94,3,11,66,0.167,85,3.350551497074978,2
5980,6,7,41,218,398,31,14,14,149,398,87,361,29,155,48,7,0.548,0.562,0.907,1.469,1,6,54,24,106,183,0.579,2338,3.350878831940736,2
5979,6,7,50,129,382,92,31,12,6,382,70,299,75,127,19,8,0.338,0.455,0.783,1.238,11,5,63,18,141,9,15.667,195,3.3509247788158594,2
5519,10,20,29,85,427,47,31,13,62,427,114,222,89,188,41,4,0.199,0.271,0.52,0.791,6,12,59,14,24,168,0.143,3211,3.4289740235053587,2
6005,18,12,16,158,590,64,29,3,72,590,89,248,74,47,16,7,0.268,0.338,0.42,0.758,17,3,46,2,196,194,1.01,3098,3.3469581482802773,2
5837,31,8,22,257,316,62,35,5,107,316,36,370,22,49,44,8,0.813,0.833,1.171,2.004,9,5,61,28,11,186,0.059,1865,3.3768100086933686,2
5836,9,2,14,254,419,58,40,5,60,419,107,309,103,131,15,9,0.606,0.647,0.737,1.384,4,13,25,1,3,193,0.016,1360,3.376889504106628,2
5835,50,3,38,168,565,12,33,11,41,565,131,338,63,56,21,6,0.297,0.306,0.598,0.904,2,5,91,19,20,92,0.217,767,3.376995141908821,2
5705,38,0,29,219,336,94,35,15,31,336,126,344,14,96,44,0,0.652,0.703,1.024,1.727,3,13,67,16,63,42,1.5,1683,3.3999655516972114,2
5704,50,0,34,144,705,32,25,1,143,705,95,296,54,47,49,0,0.204,0.238,0.42,0.658,5,15,84,29,160,9,17.778,2760,3.400223188135704,2
5703,41,7,5,202,600,62,19,3,114,600,72,272,61,82,15,5,0.337,0.397,0.453,0.85,21,5,53,15,97,32,3.031,1065,3.4008440564403193,2
5702,11,16,41,196,654,63,9,9,86,654,21,362,5,70,40,6,0.3,0.357,0.554,0.911,3,11,68,11,101,97,1.041,945,3.4010143349333015,2
5599,39,6,15,229,731,98,30,11,18,731,100,325,1,111,38,0,0.313,0.389,0.445,0.834,4,5,60,25,60,148,0.405,2063,3.4155344775725016,2
5701,26,12,23,130,144,57,13,15,57,144,124,249,94,80,2,8,0.903,0.866,1.729,2.595,0,8,61,18,143,176,0.812,183,3.4011498503520357,2
5700,20,1,3,261,657,52,26,5,156,657,87,292,74,13,47,8,0.397,0.438,0.444,0.882,29,4,24,29,173,90,1.922,967,3.401295292859625,2
5600,54,5,22,185,654,22,18,2,145,654,132,315,17,24,17,0,0.283,0.305,0.482,0.787,14,5,81,25,82,204,0.402,2790,3.4153873762353997,2
5699,33,17,6,229,357,80,13,14,42,357,100,314,4,28,26,2,0.641,0.685,0.88,1.565,10,0,56,30,133,93,1.43,1977,3.401465842718636,2
5698,55,7,11,190,515,43,6,7,22,515,38,292,123,98,4,1,0.369,0.412,0.567,0.979,25,8,73,2,142,179,0.793,703,3.4015117821264,2
5697,56,9,3,111,347,95,16,14,6,347,87,194,111,158,45,2,0.32,0.452,0.559,1.011,10,15,68,17,9,100,0.09,233,3.401559873443694,2
5696,9,5,54,223,531,9,32,10,97,531,49,404,69,36,39,8,0.42,0.422,0.761,1.183,24,2,68,17,12,64,0.188,1157,3.401605196249832,2
5695,9,14,23,233,338,19,7,2,47,338,107,339,94,31,4,3,0.689,0.702,1.003,1.705,4,8,46,9,91,166,0.548,364,3.401715505528809,2
5706,41,8,21,239,515,34,3,14,2,515,104,359,62,38,49,10,0.464,0.485,0.697,1.182,29,12,70,27,185,113,1.637,1937,3.399752642853239,2
5694,28,4,44,123,304,80,22,3,67,304,109,291,57,68,14,6,0.405,0.525,0.957,1.482,13,13,76,12,18,24,0.75,501,3.402448373221973,2
5692,51,0,44,136,209,119,16,6,12,209,20,319,65,143,26,3,0.651,0.763,1.526,2.289,17,11,95,25,165,107,1.542,7,3.402537014110512,2
5601,23,11,15,247,578,72,16,0,68,578,6,337,63,91,42,9,0.427,0.491,0.583,1.074,19,10,49,16,179,20,8.95,2176,3.4153513663191286,2
5691,40,20,31,102,494,31,1,14,85,494,89,275,36,100,8,2,0.206,0.247,0.557,0.804,6,15,91,12,189,183,1.033,1582,3.402546480813796,2
5602,14,5,9,247,479,80,32,9,72,479,26,298,107,33,31,6,0.516,0.576,0.622,1.198,5,5,28,12,68,187,0.364,2598,3.4152293589077445,2
5690,21,14,3,241,634,59,38,13,48,634,121,299,31,99,32,2,0.38,0.425,0.472,0.897,18,4,38,3,107,135,0.793,2589,3.402553223811327,2
5603,4,9,52,75,582,93,29,3,87,582,6,253,95,191,41,5,0.129,0.248,0.435,0.683,20,14,65,25,65,144,0.451,856,3.415180061385871,2
5689,8,10,7,211,654,84,40,6,131,654,97,260,32,86,0,5,0.323,0.397,0.398,0.795,16,9,25,4,117,135,0.867,2441,3.4026964514394296,2
5688,36,6,45,167,663,5,0,12,132,663,71,350,51,112,31,10,0.252,0.253,0.528,0.781,28,10,87,12,81,123,0.659,1842,3.402805558901746,2
5686,14,9,46,170,448,85,23,0,34,448,137,340,0,78,32,6,0.379,0.478,0.759,1.237,16,15,69,0,9,140,0.064,806,3.403002710403503,2
5685,43,1,32,173,571,88,34,15,139,571,41,314,8,166,2,9,0.303,0.387,0.55,0.937,6,1,76,16,87,97,0.897,2790,3.403123987816701,2
5684,47,10,0,234,434,23,39,2,110,434,61,301,86,126,40,4,0.539,0.56,0.694,1.254,12,13,57,19,142,169,0.84,1271,3.4033104635956075,2
5683,8,14,41,138,200,77,5,14,156,200,65,297,17,44,9,0,0.69,0.739,1.485,2.224,12,11,63,4,50,96,0.521,2257,3.4034187846992303,2
5682,52,5,58,163,420,5,35,12,80,420,129,399,1,4,1,9,0.388,0.384,0.95,1.334,20,2,115,3,82,148,0.554,2522,3.4037108532142346,2
5693,60,20,22,107,337,68,6,15,115,337,12,273,11,92,5,7,0.318,0.417,0.81,1.227,27,14,102,17,28,91,0.308,1132,3.4024713627639245,2
5707,3,17,51,248,274,13,7,5,32,274,42,438,54,200,37,7,0.905,0.894,1.599,2.493,25,15,71,3,161,218,0.739,462,3.3996789000800667,2
5708,43,1,49,143,531,27,6,0,138,531,84,335,52,39,5,10,0.269,0.305,0.631,0.936,21,7,93,8,1,188,0.005,2053,3.3996765105423536,2
5709,37,5,31,115,405,22,15,13,104,405,83,255,130,151,35,4,0.284,0.311,0.63,0.941,10,15,73,15,86,48,1.792,368,3.3994965412927547,2
5591,20,9,7,237,617,25,32,14,137,617,95,296,70,159,23,10,0.384,0.399,0.48,0.879,22,5,36,16,67,71,0.944,1225,3.4176732661055516,2
5592,30,17,2,204,617,64,30,3,106,617,24,274,54,54,3,5,0.331,0.392,0.444,0.836,11,10,49,17,159,177,0.898,858,3.4175796570925936,2
5732,14,9,49,134,683,86,10,14,71,683,34,313,32,23,2,9,0.196,0.281,0.458,0.739,30,4,72,3,158,214,0.738,524,3.396028217664042,2
5731,28,0,30,178,583,108,7,8,19,583,19,296,98,55,22,0,0.305,0.409,0.508,0.917,6,5,58,24,95,205,0.463,1126,3.396358878255277,2
5730,50,5,16,223,564,47,24,10,15,564,90,331,68,126,40,6,0.395,0.435,0.587,1.022,13,1,71,23,65,186,0.349,3129,3.3964530533680612,2
5729,41,16,38,139,188,43,4,8,73,188,46,326,50,92,29,0,0.739,0.762,1.734,2.496,6,1,95,1,147,9,16.333,2248,3.3966162089312695,2
5728,9,7,0,191,710,77,31,0,18,710,136,214,126,99,6,5,0.269,0.341,0.301,0.642,0,3,16,3,128,166,0.771,2094,3.3966214454864114,2
5727,19,16,42,147,526,26,7,0,92,526,120,324,25,0,17,0,0.279,0.313,0.616,0.929,8,13,77,25,13,42,0.31,2965,3.3967529358549293,2
5593,45,0,4,174,595,69,1,3,140,595,112,231,82,98,6,3,0.292,0.364,0.388,0.752,19,15,49,2,184,24,7.667,2023,3.416567250820754,2
5726,33,17,3,174,638,48,32,15,141,638,114,250,9,137,9,1,0.273,0.317,0.392,0.709,14,3,53,4,17,10,1.7,953,3.3968249140674134,2
5725,28,6,29,228,555,9,12,15,4,555,102,355,109,9,29,5,0.411,0.409,0.64,1.049,21,4,63,21,185,173,1.069,1481,3.3970493488665414,2
5724,11,9,48,118,695,118,19,6,14,695,75,291,21,190,40,0,0.17,0.288,0.419,0.707,30,7,68,1,125,183,0.683,2874,3.3972394158970483,2
5594,48,7,20,262,309,51,39,10,12,309,38,384,63,184,30,8,0.848,0.846,1.243,2.089,24,15,75,17,57,44,1.295,1573,3.416531289784472,2
5723,18,11,57,192,298,3,35,13,118,298,113,403,6,18,33,2,0.644,0.621,1.352,1.973,14,4,86,30,180,134,1.343,1807,3.397276560876836,2
5722,16,5,34,144,304,98,12,9,120,304,100,272,38,109,32,1,0.474,0.589,0.895,1.484,3,8,55,13,27,32,0.844,424,3.3974256408376413,2
5720,35,20,33,102,516,26,9,10,60,516,31,276,88,54,48,2,0.198,0.232,0.535,0.767,10,6,88,0,11,103,0.107,1870,3.3975134548378296,2
5719,16,16,5,54,165,99,29,11,141,165,81,117,117,170,45,8,0.327,0.556,0.709,1.265,9,10,37,22,200,202,0.99,3015,3.3975152916563003,2
5595,1,14,54,144,436,81,0,7,20,436,29,335,65,195,11,2,0.33,0.429,0.768,1.197,19,2,69,27,62,97,0.639,2532,3.4164941675746126,2
5596,8,3,36,229,720,14,35,5,118,720,46,351,103,66,3,2,0.318,0.329,0.487,0.816,23,10,47,26,72,149,0.483,2750,3.416482428687575,2
5718,7,9,53,239,526,8,13,1,93,526,20,423,67,166,37,9,0.454,0.462,0.804,1.266,22,10,69,27,17,40,0.425,1654,3.397517265396391,2
5717,23,2,29,85,136,102,4,10,104,136,74,199,129,136,9,0,0.625,0.754,1.463,2.217,25,3,54,11,48,207,0.232,1102,3.3975221760774246,2
5716,12,19,45,148,500,7,20,7,11,500,80,333,92,61,24,10,0.296,0.302,0.666,0.968,23,15,76,4,73,184,0.397,49,3.397930453771858,2
5715,31,7,10,182,397,80,33,13,81,397,29,257,103,192,45,7,0.458,0.535,0.647,1.182,10,3,48,18,190,27,7.037,713,3.39825525889267,2
5714,1,16,32,137,159,111,9,9,92,159,133,266,0,179,29,3,0.862,0.889,1.673,2.562,16,9,49,4,198,31,6.387,2425,3.398638896666238,2
5713,48,12,29,118,142,27,30,11,73,142,36,277,122,48,47,0,0.831,0.806,1.951,2.757,28,10,89,21,103,22,4.682,1707,3.3986810587977008,2
5712,49,2,34,210,436,60,1,6,101,436,42,365,32,108,29,5,0.482,0.538,0.837,1.375,5,8,85,2,199,199,1.0,1626,3.3987709301139875,2
5597,6,12,20,195,260,78,10,11,107,260,3,285,103,199,29,7,0.75,0.782,1.096,1.878,17,9,38,29,19,70,0.271,1593,3.4161970252378535,2
5711,47,13,10,107,168,60,26,1,25,168,148,210,104,30,45,2,0.637,0.729,1.25,1.979,11,5,70,29,106,147,0.721,1864,3.39898640603531,2
5710,14,7,55,107,372,23,2,4,160,372,56,300,96,105,9,3,0.288,0.326,0.806,1.132,6,6,76,8,185,210,0.881,2653,3.3992878111444695,2
5681,0,6,51,236,619,89,14,15,34,619,9,401,29,197,23,7,0.381,0.45,0.648,1.098,10,3,57,11,11,124,0.089,1980,3.4037159003732085,2
5733,60,12,3,255,385,57,2,2,64,385,2,348,51,191,38,7,0.662,0.703,0.904,1.607,11,2,75,19,197,74,2.662,2287,3.3960062817553074,2
5680,48,7,4,209,603,24,16,13,93,603,108,283,79,139,40,8,0.347,0.364,0.469,0.833,19,8,59,28,171,190,0.9,2391,3.4039335236469412,2
5678,10,10,58,87,596,91,30,15,37,596,28,291,60,27,30,2,0.146,0.254,0.488,0.742,24,9,78,6,47,108,0.435,1600,3.4041158392782367,2
5653,39,10,10,192,748,38,8,0,12,748,117,281,92,120,23,6,0.257,0.293,0.376,0.669,25,0,59,26,25,131,0.191,1235,3.4086720491104012,2
5652,51,14,9,74,621,82,20,0,135,621,72,180,49,31,15,7,0.119,0.222,0.29,0.512,25,4,74,30,59,28,2.107,3007,3.4087967542484514,2
5619,46,2,46,174,196,41,9,2,14,196,80,362,97,158,15,10,0.888,0.9,1.847,2.747,23,10,94,23,34,75,0.453,507,3.413407708704422,2
5621,5,7,29,217,295,36,28,8,148,295,141,323,46,109,2,8,0.736,0.746,1.095,1.841,10,0,41,19,106,213,0.498,571,3.413317478607767,2
5651,3,15,1,232,387,46,21,7,68,387,110,268,105,92,23,1,0.599,0.632,0.693,1.325,29,14,19,21,97,50,1.94,1403,3.408806584867009,2
5650,4,19,42,173,186,34,11,2,86,186,150,341,15,118,39,0,0.93,0.932,1.833,2.765,0,12,65,20,155,63,2.46,2666,3.40882027334053,2
5649,30,12,25,123,144,70,25,0,63,144,44,252,118,29,24,1,0.854,0.902,1.75,2.652,7,4,67,19,17,113,0.15,931,3.4089298968902964,2
5647,51,0,30,120,250,102,10,8,58,250,73,261,81,14,16,4,0.48,0.617,1.044,1.661,30,5,81,17,18,212,0.085,1287,3.4095321549734265,2
5646,43,15,5,90,446,52,13,4,148,446,97,178,84,153,38,3,0.202,0.283,0.399,0.682,19,0,63,14,72,215,0.335,2120,3.409659343291967,2
5622,38,8,8,249,468,44,32,7,77,468,76,327,63,25,27,8,0.532,0.565,0.699,1.264,25,7,54,16,196,84,2.333,1549,3.4129716113349584,2
5645,24,0,42,231,690,21,28,14,66,690,43,381,92,90,13,5,0.335,0.348,0.552,0.9,22,14,66,25,29,97,0.299,1236,3.4105014046228668,2
5644,27,6,15,125,547,83,31,15,99,547,100,209,84,135,17,6,0.229,0.322,0.382,0.704,17,15,48,18,185,195,0.949,1088,3.4105225871211537,2
5624,30,17,2,170,187,112,19,12,105,187,72,240,20,46,30,1,0.909,0.907,1.283,2.19,13,9,49,10,160,185,0.865,202,3.4127043138501088,2
5654,25,12,21,151,166,10,30,4,120,166,116,263,118,174,27,3,0.91,0.894,1.584,2.478,30,11,58,3,81,20,4.05,937,3.408488462114368,2
5625,54,17,34,123,377,28,9,3,117,377,47,313,30,66,29,9,0.326,0.37,0.83,1.2,0,10,105,13,20,188,0.106,938,3.4125418014059212,2
5643,16,20,3,129,219,115,19,10,46,219,86,194,71,124,25,1,0.589,0.709,0.886,1.595,30,8,39,16,143,65,2.2,2580,3.41056043900208,2
5642,15,16,37,261,495,2,17,6,78,495,40,419,42,38,49,3,0.527,0.523,0.846,1.369,4,13,68,5,177,34,5.206,78,3.410827575480635,2
5641,56,3,17,97,455,119,0,3,114,455,20,210,76,157,32,0,0.213,0.374,0.462,0.836,11,4,76,10,159,202,0.787,3073,3.4108597921211796,2
5640,50,15,22,168,518,57,18,11,37,518,100,314,9,146,24,3,0.324,0.384,0.606,0.99,0,13,87,3,5,144,0.035,70,3.4108931453173352,2
5639,3,19,31,161,496,0,32,10,106,496,111,295,78,18,21,3,0.325,0.318,0.595,0.913,19,12,53,9,191,7,27.286,2109,3.4109750504482212,2
5638,36,7,36,216,249,41,31,12,148,249,24,374,30,9,13,4,0.867,0.851,1.502,2.353,1,12,79,1,84,46,1.826,1222,3.411296157012073,2
5629,39,3,54,104,263,33,32,10,115,263,87,311,74,171,7,1,0.395,0.448,1.183,1.631,27,9,96,11,144,164,0.878,2251,3.4122266136409034,2
5637,13,10,31,159,469,37,37,9,5,469,98,285,130,130,37,2,0.339,0.381,0.608,0.989,12,15,54,12,2,119,0.017,2179,3.411347122565431,2
5635,34,5,20,252,704,34,38,7,72,704,42,356,70,12,42,9,0.358,0.384,0.506,0.89,29,12,59,14,45,166,0.271,2489,3.411682923194511,2
5634,20,18,11,209,417,64,14,10,73,417,24,298,67,96,44,7,0.501,0.556,0.715,1.271,22,14,49,19,117,138,0.848,1931,3.4118156765605154,2
5633,4,10,12,183,489,70,25,3,122,489,23,243,125,137,12,1,0.374,0.45,0.497,0.947,29,9,26,14,114,43,2.651,427,3.411820185255031,2
5630,14,15,4,249,651,58,30,4,123,651,70,305,27,149,40,1,0.382,0.431,0.469,0.9,21,6,33,20,149,220,0.677,1425,3.412208358436654,2
5632,34,8,57,163,581,48,22,1,13,581,52,384,40,169,14,4,0.281,0.335,0.661,0.996,1,12,99,30,126,210,0.6,3031,3.411864325925596,2
5628,49,0,22,236,589,5,39,2,95,589,115,351,74,55,19,8,0.401,0.404,0.596,1.0,16,3,71,13,198,19,10.421,1000,3.412245042268218,2
5656,9,9,32,131,575,118,14,3,48,575,88,254,46,35,46,0,0.228,0.358,0.442,0.8,6,13,50,0,156,56,2.786,1865,3.408409071803738,2
5657,36,18,14,132,267,23,23,12,61,267,97,246,109,180,19,9,0.494,0.513,0.921,1.434,29,7,68,8,25,31,0.806,547,3.408165006731714,2
5658,12,8,21,208,276,94,11,14,9,276,64,299,97,195,28,5,0.754,0.786,1.083,1.869,15,2,41,26,101,53,1.906,3109,3.4081223505908897,2
5676,5,10,15,243,580,78,39,2,63,580,70,313,57,199,31,0,0.419,0.486,0.54,1.026,4,3,30,29,86,148,0.581,2037,3.404737765213574,2
5675,24,3,0,187,259,64,35,10,158,259,132,217,99,121,0,0,0.722,0.754,0.838,1.592,6,9,27,23,13,214,0.061,2425,3.405321875687962,2
5674,27,1,26,57,570,77,25,6,113,570,120,164,127,102,21,5,0.1,0.205,0.288,0.493,14,15,54,26,68,51,1.333,1127,3.4053824473283973,2
5673,41,4,57,201,331,14,18,9,95,331,75,421,24,98,41,4,0.607,0.607,1.272,1.879,24,13,102,21,158,205,0.771,2460,3.4054433391170895,2
5672,32,3,33,193,298,90,21,13,1,298,71,330,72,178,33,2,0.648,0.706,1.107,1.813,10,0,68,24,99,2,49.5,626,3.405511484267418,2
5671,21,9,9,224,434,44,9,10,65,434,52,290,126,143,35,0,0.516,0.549,0.668,1.217,19,13,39,26,190,58,3.276,104,3.406028278582921,2
5607,54,6,26,185,543,25,12,5,116,543,103,329,34,141,4,0,0.341,0.366,0.606,0.972,13,10,86,8,21,71,0.296,1665,3.4146597457603916,2
5670,27,3,57,141,677,77,22,2,67,677,87,345,9,150,39,1,0.208,0.288,0.51,0.798,21,12,87,22,66,3,22.0,1652,3.4064628783071402,2
5608,2,19,37,66,740,32,24,6,2,740,118,217,130,200,43,5,0.089,0.126,0.293,0.419,25,4,58,10,5,204,0.025,143,3.414659671614462,2
5609,54,0,47,148,193,28,39,11,31,193,68,343,114,56,22,3,0.767,0.759,1.777,2.536,12,13,101,16,115,93,1.237,2643,3.414596654394782,2
5669,22,0,56,153,507,70,12,1,45,507,114,343,49,119,33,4,0.302,0.386,0.677,1.063,1,13,78,0,31,117,0.265,2683,3.4064782982890764,2
5610,3,15,58,115,420,19,26,3,9,420,148,322,80,61,20,8,0.274,0.303,0.767,1.07,12,0,76,13,89,160,0.556,2126,3.41456564210827,2
5668,4,13,13,200,339,68,39,12,109,339,13,269,108,127,27,4,0.59,0.64,0.794,1.434,23,5,30,29,29,84,0.345,2022,3.406637765645974,2
5667,6,4,44,120,391,61,8,8,153,391,91,266,83,47,14,10,0.307,0.393,0.68,1.073,20,11,54,8,87,94,0.926,1449,3.406903401954445,2
5666,2,8,27,200,622,93,13,4,32,622,73,299,71,130,26,8,0.322,0.408,0.481,0.889,23,9,37,28,29,184,0.158,1534,3.406960629454808,2
5611,31,3,5,238,305,37,14,13,153,305,34,290,126,186,1,5,0.78,0.775,0.951,1.726,15,1,39,14,95,190,0.5,694,3.4144299465229113,2
5665,51,15,0,185,668,1,39,4,162,668,108,266,43,138,37,6,0.277,0.276,0.398,0.674,10,12,66,6,140,69,2.029,1998,3.4070609296280696,2
5613,39,14,17,173,291,25,35,5,32,291,136,291,82,10,23,9,0.595,0.617,1.0,1.617,28,1,70,1,90,64,1.406,3012,3.414390019819958,2
5664,51,1,59,148,465,2,36,9,109,465,57,378,62,199,20,7,0.318,0.315,0.813,1.128,19,0,111,19,74,69,1.072,2212,3.407341589401505,2
5614,1,10,40,116,742,39,36,14,126,742,149,257,47,118,36,5,0.156,0.195,0.346,0.541,4,1,51,4,17,79,0.215,2918,3.414067217881282,2
5663,57,8,37,115,145,8,32,10,132,145,39,299,104,34,47,8,0.793,0.755,2.062,2.817,14,9,102,4,57,163,0.35,680,3.407411457729971,2
5662,6,13,18,105,410,113,0,3,86,410,110,191,72,104,5,3,0.256,0.414,0.466,0.88,20,14,37,12,161,154,1.045,831,3.407474741905201,2
5615,37,2,45,178,598,6,40,15,74,598,115,354,66,101,39,10,0.298,0.297,0.592,0.889,11,13,84,25,72,59,1.22,2634,3.4140357191567934,2
5616,60,9,37,195,455,6,34,4,133,455,74,384,1,180,6,1,0.429,0.432,0.844,1.276,21,6,106,23,63,41,1.537,2844,3.4139687631368885,2
5661,47,1,10,224,480,74,5,7,51,480,150,303,42,130,32,1,0.467,0.531,0.631,1.162,5,8,58,3,72,200,0.36,2923,3.4076682760872843,2
5660,32,16,38,123,572,52,4,0,27,572,50,301,68,38,11,3,0.215,0.28,0.526,0.806,11,4,86,6,94,57,1.649,3267,3.4076868869717827,2
5617,8,4,30,76,575,107,37,9,132,575,119,182,70,90,32,3,0.132,0.265,0.317,0.582,24,7,42,13,119,94,1.266,83,3.4139563136701794,2
5659,22,18,44,203,262,37,27,2,25,262,31,393,45,151,50,7,0.775,0.797,1.5,2.297,21,9,84,7,12,199,0.06,294,3.4080076967288244,2
5618,14,6,50,93,494,38,2,5,83,494,105,269,113,153,47,5,0.188,0.244,0.545,0.789,8,14,70,22,137,210,0.652,1061,3.413682090668042,2
5606,32,17,12,229,276,51,8,15,7,276,39,331,84,195,17,8,0.83,0.819,1.199,2.018,25,0,61,28,109,139,0.784,414,3.4147985750468184,2
6062,11,9,59,93,451,96,29,1,19,451,34,299,64,165,24,4,0.206,0.345,0.663,1.008,22,12,79,9,47,163,0.288,72,3.3393363560724416,2
5735,41,10,27,179,660,42,32,10,42,660,121,321,24,131,9,2,0.271,0.31,0.486,0.796,26,11,78,15,160,188,0.851,680,3.395628154988617,2
5737,25,11,29,168,402,81,4,10,44,402,113,302,28,105,13,10,0.418,0.505,0.751,1.256,5,13,65,2,103,93,1.108,2208,3.3953714056943407,2
5807,15,4,53,208,248,21,16,1,92,248,65,390,81,157,6,2,0.839,0.848,1.573,2.421,18,2,72,9,69,184,0.375,2189,3.382251075944424,2
5806,8,16,10,259,690,58,1,1,3,690,2,329,106,87,40,1,0.375,0.423,0.477,0.9,3,15,34,29,133,98,1.357,556,3.382269616303873,2
5805,32,15,1,165,342,102,31,8,20,342,65,230,78,192,34,4,0.482,0.591,0.673,1.264,28,10,48,18,12,121,0.099,1,3.382637684084073,2
5804,14,7,58,211,266,39,26,3,37,266,113,413,25,114,13,8,0.793,0.812,1.553,2.365,8,15,79,11,43,160,0.269,649,3.3834178720478074,2
5563,55,5,30,162,476,84,6,2,127,476,34,317,13,165,16,5,0.34,0.438,0.666,1.104,28,3,90,26,135,218,0.619,773,3.4241820481562386,2
5803,16,3,33,253,722,52,40,3,34,722,96,374,43,191,9,9,0.35,0.393,0.518,0.911,3,11,52,1,171,13,13.154,2631,3.3839027264743655,2
5802,21,8,33,255,475,33,30,12,121,475,86,391,1,83,12,5,0.537,0.554,0.823,1.377,1,11,62,24,34,113,0.301,76,3.3839207273873684,2
5801,41,11,24,178,459,66,19,1,13,459,66,313,61,129,27,10,0.388,0.464,0.682,1.146,13,6,76,15,33,38,0.868,77,3.384037546636053,2
5564,18,15,4,64,89,100,8,6,161,89,116,124,101,199,25,4,0.719,0.841,1.393,2.234,10,8,37,18,102,101,1.01,966,3.423973768694606,2
5800,0,7,56,213,609,47,16,5,72,609,16,395,57,158,33,2,0.35,0.393,0.649,1.042,4,0,63,5,9,181,0.05,750,3.38405562740329,2
5565,47,5,18,114,555,118,4,3,93,555,69,225,45,101,33,10,0.205,0.343,0.405,0.748,16,6,70,11,51,192,0.266,88,3.4238309904465565,2
5566,45,2,60,190,310,90,19,3,38,310,20,419,2,196,36,7,0.613,0.695,1.352,2.047,10,9,107,21,58,83,0.699,1681,3.422477713811629,2
5567,49,16,7,107,401,68,30,7,134,401,92,209,40,59,8,2,0.267,0.368,0.521,0.889,6,0,72,7,102,34,3.0,567,3.4224314049927247,2
5808,33,4,57,152,735,69,12,15,52,735,46,364,11,192,46,2,0.207,0.27,0.495,0.765,19,13,94,6,163,172,0.948,2067,3.382148286048901,2
5568,43,2,42,113,372,86,19,11,144,372,1,286,62,114,40,9,0.304,0.424,0.769,1.193,1,0,87,8,66,68,0.971,884,3.4223949546094787,2
5569,0,20,25,121,301,104,25,14,95,301,78,236,33,152,11,0,0.402,0.537,0.784,1.321,19,15,45,3,33,120,0.275,2266,3.4223505320461407,2
5570,10,16,54,82,617,81,0,2,41,617,52,286,50,166,46,5,0.133,0.233,0.464,0.697,30,4,80,10,137,138,0.993,2505,3.422350282307627,2
5798,12,11,19,173,195,103,33,11,122,195,22,264,63,167,21,7,0.887,0.893,1.354,2.247,19,1,42,25,188,79,2.38,207,3.3843982762729024,2
5797,22,3,53,108,221,108,38,5,140,221,2,295,46,181,18,5,0.489,0.647,1.335,1.982,3,8,78,28,198,175,1.131,1167,3.3845802305576305,2
